,loc_x,loc_y,shot_made_flag,Region
5441,20.4,26.8,1.0,TK
5442,10.0,21.9,0.0,LW
5444,27.0,2.3,0.0,P
5445,28.1,2.3,0.0,P
5446,25.2,2.5,1.0,P
5447,24.4,2.0,1.0,P
5448,24.3,22.7,0.0,TK
5449,26.1,0.4,0.0,P
5450,26.7,4.4,0.0,P
5452,24.6,3.1,1.0,P
5453,26.0,16.0,1.0,P
5454,42.6,20.1,0.0,RW
5455,14.5,3.6,0.0,LB
5456,25.9,5.3,1.0,P
5457,26.5,10.8,0.0,P
5458,30.9,8.3,1.0,P
5459,44.0,0.7,0.0,RB
5460,14.4,7.2,1.0,LB
5461,25.2,3.7,0.0,P
5462,26.5,2.2,1.0,P
5464,24.2,1.2,1.0,P
5465,27.6,26.1,0.0,TK
5466,25.9,6.6,0.0,P
5468,31.2,24.4,0.0,TK
5470,40.7,15.9,0.0,RE
5471,28.1,0.9,1.0,P
5472,39.3,19.5,0.0,RE
5473,26.8,4.8,1.0,P
5476,33.8,17.0,0.0,RE
5477,39.1,13.2,1.0,RB
5478,26.7,21.4,0.0,TK
5479,9.3,19.4,1.0,LE
5481,5.899999999999999,15.7,0.0,LE
5482,29.3,1.1,0.0,P
5484,32.0,6.9,1.0,RB
5485,12.2,1.5,0.0,LB
5486,22.4,11.5,1.0,P
5487,30.4,4.7,0.0,P
5488,38.3,0.1,1.0,RB
5489,26.3,1.9,1.0,P
5490,25.7,1.4,0.0,P
5493,11.6,21.6,0.0,LE
5494,12.2,0.9,0.0,LB
5495,10.8,22.4,0.0,LW
5496,40.5,1.7,0.0,RB
5497,35.5,18.3,1.0,RE
5498,40.5,19.5,0.0,RE
5499,16.1,1.5,1.0,LB
5501,19.0,9.9,0.0,P
5502,17.2,11.3,0.0,LB
5503,29.7,10.8,1.0,P
5504,6.199999999999999,8.5,1.0,LB
5506,27.0,0.9,0.0,P
5508,16.9,3.6,1.0,LB
5509,26.8,0.1,1.0,P
5510,22.4,0.4,1.0,P
5511,11.4,20.9,1.0,LE
5514,25.2,15.6,1.0,P
5515,14.7,6.1,1.0,LB
5516,8.899999999999999,19.2,0.0,LE
5517,27.9,1.1,1.0,P
5518,27.6,0.4,0.0,P
5519,21.8,7.7,0.0,P
5521,9.0,20.8,0.0,LW
5522,42.0,0.3,0.0,RB
5523,4.800000000000001,8.0,0.0,LB
5524,23.4,1.1,0.0,P
5525,17.5,40.0,0.0,T
5527,23.5,0.9,1.0,P
5528,18.5,2.2,1.0,LB
5529,9.8,21.7,1.0,LW
5530,31.5,25.4,0.0,TK
5533,26.3,3.0,1.0,P
5535,11.7,20.9,0.0,LE
5536,33.9,7.4,0.0,RB
5537,19.0,3.6,1.0,P
5538,30.6,16.4,0.0,P
5540,25.9,2.3,1.0,P
5541,48.4,2.6,0.0,RC
5542,21.8,12.7,1.0,P
5543,36.0,11.8,0.0,RB
5544,20.5,10.5,1.0,P
5546,19.3,9.4,0.0,P
5548,8.399999999999999,1.7,1.0,LB
5549,22.3,12.9,1.0,P
5550,25.4,1.9,1.0,P
5551,23.2,7.1,0.0,P
5553,44.8,15.1,0.0,RE
5554,19.6,18.3,0.0,P
5555,8.100000000000001,8.3,1.0,LB
5556,25.0,8.3,1.0,P
5557,11.7,9.1,0.0,LB
5558,15.0,6.3,1.0,LB
5559,27.9,19.7,1.0,TK
5560,20.9,5.8,0.0,P
5562,23.9,24.7,1.0,TK
5563,42.6,20.1,1.0,RW
5564,29.2,11.6,1.0,P
5565,33.9,13.7,1.0,RB
5566,45.0,1.2,0.0,RB
5568,16.4,17.3,1.0,LE
5569,31.1,6.6,0.0,RB
5571,17.4,4.7,0.0,LB
5572,11.6,3.3,0.0,LB
5573,7.899999999999999,17.8,0.0,LE
5574,23.1,20.3,1.0,TK
5576,25.1,2.0,0.0,P
5577,17.9,20.8,0.0,LE
5578,8.899999999999999,20.0,1.0,LE
5579,30.0,17.3,0.0,P
5580,16.9,7.2,1.0,LB
5581,34.1,14.5,1.0,RE
5583,36.1,10.7,1.0,RB
5584,3.0,12.4,1.0,LB
5585,11.9,1.7,0.0,LB
5586,45.9,13.1,1.0,RB
5587,7.5,21.3,0.0,LW
5589,11.4,3.1,0.0,LB
5590,20.2,7.2,0.0,P
5593,5.399999999999999,21.7,0.0,LW
5594,17.9,2.5,1.0,LB
5597,35.2,9.7,0.0,RB
5599,18.2,3.0,1.0,LB
5600,38.3,2.6,1.0,RB
5601,16.6,20.1,0.0,LE
5602,35.0,15.4,0.0,RE
5603,34.1,13.5,0.0,RB
5605,22.4,1.1,0.0,P
5606,39.4,12.7,0.0,RB
5607,14.2,26.5,1.0,LW
5608,25.1,27.2,1.0,TK
5609,17.1,25.0,0.0,LE
5610,36.1,15.6,0.0,RE
5611,24.8,11.6,1.0,P
5613,39.4,22.5,0.0,RW
5614,35.3,14.3,1.0,RE
5617,12.3,16.0,0.0,LE
5618,8.7,19.7,0.0,LE
5619,14.4,12.9,0.0,LB
5620,17.7,3.1,0.0,LB
5622,36.3,14.6,0.0,RE
5623,28.1,6.3,1.0,P
5624,11.2,10.1,0.0,LB
5625,12.0,1.2,0.0,LB
5626,27.4,11.6,0.0,P
5627,14.4,7.1,0.0,LB
5628,24.5,6.3,0.0,P
5629,26.2,20.0,1.0,TK
5631,37.9,8.6,0.0,RB
5633,34.7,12.3,1.0,RB
5634,16.0,5.8,1.0,LB
5635,29.8,18.1,0.0,P
5636,10.1,3.7,0.0,LB
5637,34.1,23.1,0.0,RE
5638,29.7,7.5,1.0,P
5639,22.7,3.0,0.0,P
5640,41.6,12.3,0.0,RB
5641,19.8,10.8,0.0,P
5643,36.3,4.5,1.0,RB
5644,26.3,13.2,1.0,P
5645,44.0,15.6,0.0,RE
5646,14.9,0.4,0.0,LB
5647,24.6,0.6,1.0,P
5648,29.2,14.9,0.0,P
5649,27.4,0.7,0.0,P
5651,22.7,4.5,1.0,P
5652,13.1,11.6,0.0,LB
5653,34.2,20.3,0.0,RE
5654,42.9,2.3,1.0,RB
5655,27.8,21.9,0.0,TK
5656,33.3,14.9,0.0,RE
5658,13.3,15.1,1.0,LE
5659,36.3,23.5,1.0,RE
5660,26.7,2.2,1.0,P
5662,27.0,25.4,1.0,TK
5664,27.4,0.3,1.0,P
5665,11.1,17.6,0.0,LE
5666,16.8,1.1,0.0,LB
5668,14.1,6.9,0.0,LB
5669,40.5,20.6,0.0,RE
5670,39.1,15.6,0.0,RE
5671,19.9,0.3,0.0,P
5672,2.1000000000000014,3.0,1.0,LC
5673,14.9,12.6,0.0,LB
5675,2.1999999999999993,7.7,0.0,LC
5676,35.3,26.5,0.0,RW
5677,11.2,13.8,0.0,LB
5679,35.8,6.9,1.0,RB
5680,23.1,1.5,0.0,P
5681,4.600000000000001,1.5,0.0,LB
5682,24.6,6.6,1.0,P
5683,28.2,17.8,1.0,P
5684,36.1,19.7,1.0,RE
5685,35.0,17.8,0.0,RE
5686,27.0,2.0,1.0,P
5687,43.1,1.5,0.0,RB
5688,46.4,14.0,0.0,RB
5689,18.3,14.8,0.0,LE
5691,2.1999999999999993,0.9,0.0,LC
5692,40.4,19.5,0.0,RE
5693,40.1,15.1,0.0,RE
5694,26.2,6.6,0.0,P
5695,49.1,6.0,1.0,RC
5696,10.1,13.7,0.0,LB
5697,34.9,2.8,0.0,RB
5698,33.3,4.7,0.0,RB
5699,39.3,6.1,1.0,RB
5700,15.2,1.9,1.0,LB
5701,29.0,20.3,0.0,TK
5702,21.8,0.3,1.0,P
5704,5.600000000000001,14.9,0.0,LE
5705,41.0,1.1,1.0,RB
5706,13.0,6.0,0.0,LB
5707,17.1,2.0,1.0,LB
5708,48.6,2.6,1.0,RC
5709,27.6,14.6,1.0,P
5711,26.8,26.8,0.0,TK
5712,38.8,3.6,0.0,RB
5714,42.3,14.3,0.0,RE
5717,41.0,4.7,1.0,RB
5718,38.0,15.7,0.0,RE
5719,10.3,10.8,1.0,LB
5720,10.4,14.3,0.0,LE
5721,26.0,4.8,0.0,P
5722,36.6,13.5,0.0,RB
5723,25.1,2.3,0.0,P
5724,40.2,10.4,1.0,RB
5725,27.3,0.4,1.0,P
5726,25.9,25.8,0.0,TK
5727,20.4,21.9,0.0,TK
5728,24.8,3.1,0.0,P
5729,28.4,3.0,0.0,P
5731,12.8,2.6,1.0,LB
5732,20.7,4.8,1.0,P
5733,32.2,19.8,0.0,RE
5734,21.8,4.1,0.0,P
5736,27.3,0.1,1.0,P
5737,28.9,3.7,0.0,P
5738,32.8,14.9,0.0,RE
5741,13.3,22.5,0.0,LE
5742,20.2,3.3,1.0,P
5745,32.2,1.1,1.0,RB
5746,36.9,1.9,0.0,RB
5747,12.8,14.3,0.0,LE
5750,12.2,14.9,1.0,LE
5752,23.7,16.0,1.0,P
5753,25.2,11.6,0.0,P
5754,6.199999999999999,15.6,0.0,LE
5756,35.6,22.0,0.0,RE
5757,32.0,5.3,0.0,RB
5758,13.0,12.7,1.0,LB
5759,24.6,1.5,1.0,P
5760,35.3,11.0,1.0,RB
5762,26.5,14.9,0.0,P
5763,38.3,14.2,1.0,RE
5764,7.5,17.3,0.0,LE
5765,27.4,16.0,0.0,P
5767,13.4,0.3,1.0,LB
5768,21.8,14.0,1.0,P
5769,47.3,1.5,0.0,RC
5771,5.600000000000001,15.6,0.0,LE
5772,25.1,0.6,1.0,P
5773,46.4,17.6,0.0,RW
5774,31.1,11.3,1.0,RB
5776,2.1000000000000014,1.1,0.0,LC
5777,16.3,10.5,0.0,LB
5778,23.5,20.5,0.0,TK
5779,18.2,3.3,1.0,LB
5780,41.5,18.4,1.0,RE
5781,46.2,9.3,0.0,RB
5782,43.9,10.8,0.0,RB
5783,26.0,0.4,0.0,P
5786,16.1,10.5,1.0,LB
5787,32.8,10.1,1.0,RB
5788,44.2,17.6,0.0,RW
5789,10.9,6.4,0.0,LB
5790,28.6,16.7,0.0,P
5791,23.4,2.8,0.0,P
5792,5.699999999999999,11.8,1.0,LB
5793,34.4,23.1,1.0,RE
5794,8.399999999999999,19.7,0.0,LE
5797,31.7,16.7,1.0,RE
5798,30.3,27.1,1.0,T
5799,36.3,24.6,0.0,RW
5800,24.0,3.1,1.0,P
5802,17.7,7.7,0.0,LB
5804,34.1,2.8,0.0,RB
5805,24.2,10.1,0.0,P
5806,29.2,19.2,0.0,TK
5807,10.3,10.8,1.0,LB
5810,21.6,1.1,0.0,P
5811,34.4,20.6,0.0,RE
5812,22.7,19.5,1.0,TK
5813,10.9,20.1,1.0,LE
5814,40.2,16.5,0.0,RE
5815,27.3,1.1,0.0,P
5817,5.600000000000001,14.5,1.0,LE
5818,14.5,14.3,0.0,LE
5819,9.0,15.6,1.0,LE
5820,4.800000000000001,17.8,0.0,LW
5821,39.0,3.6,1.0,RB
5824,29.7,24.4,0.0,TK
5825,28.6,20.1,0.0,TK
5827,35.3,16.5,1.0,RE
5829,34.4,1.4,1.0,RB
5830,17.4,13.1,1.0,LB
5831,14.7,6.1,0.0,LB
5832,26.3,8.5,1.0,P
5834,15.5,16.4,1.0,LE
5835,19.0,5.2,0.0,P
5836,22.6,0.4,1.0,P
5837,15.2,25.4,0.0,LW
5838,15.2,16.5,0.0,LE
5839,37.5,22.7,1.0,RE
5840,1.6000000000000014,11.2,0.0,LC
5843,47.3,11.2,1.0,RC
5844,31.5,11.9,1.0,RB
5845,8.7,5.6,0.0,LB
5846,17.5,4.1,0.0,LB
5847,12.8,14.8,0.0,LE
5849,11.9,10.8,0.0,LB
5850,45.6,11.5,1.0,RB
5851,15.8,7.1,0.0,LB
5852,38.0,7.8,0.0,RB
5853,21.2,1.9,0.0,P
5854,33.6,8.9,1.0,RB
5855,36.6,8.6,0.0,RB
5856,25.1,13.5,1.0,P
5858,4.800000000000001,19.5,0.0,LW
5859,2.6999999999999993,3.6,0.0,LC
5860,17.7,18.4,0.0,LE
5861,25.1,6.7,0.0,P
5862,12.3,15.9,0.0,LE
5863,25.0,0.6,1.0,P
5864,48.1,3.9,0.0,RC
5866,24.0,26.3,0.0,TK
5867,38.6,20.9,0.0,RE
5868,18.2,11.0,1.0,LB
5869,40.2,5.6,0.0,RB
5871,26.7,1.4,0.0,P
5872,18.5,20.0,0.0,LE
5873,42.3,1.7,1.0,RB
5874,45.7,16.0,0.0,RW
5875,25.0,2.6,0.0,P
5876,22.0,12.3,0.0,P
5877,41.8,19.7,1.0,RE
5878,40.5,20.5,0.0,RE
5879,36.3,15.1,0.0,RE
5881,7.0,17.3,0.0,LE
5883,30.1,17.8,0.0,P
5884,32.5,16.8,1.0,RE
5885,33.6,20.6,0.0,RE
5886,10.1,3.3,1.0,LB
5888,48.4,5.8,1.0,RC
5889,27.0,2.2,0.0,P
5890,48.0,5.0,0.0,RC
5891,31.9,9.4,0.0,RB
5892,25.7,8.8,1.0,P
5894,25.0,2.0,1.0,P
5896,36.1,17.5,1.0,RE
5897,15.7,11.6,1.0,LB
5899,6.300000000000001,33.2,0.0,LW
5900,14.5,15.4,0.0,LE
5901,10.0,13.8,0.0,LB
5902,12.8,3.4,1.0,LB
5904,25.2,8.2,1.0,P
5905,20.7,17.9,0.0,P
5906,48.3,8.9,1.0,RC
5908,20.2,24.6,1.0,TK
5909,7.100000000000001,12.9,1.0,LB
5910,48.6,1.5,0.0,RC
5911,19.9,15.3,1.0,P
5912,23.5,1.1,0.0,P
5914,21.0,18.6,1.0,P
5915,46.1,8.2,1.0,RB
5916,44.3,15.4,0.0,RE
5917,12.3,21.6,0.0,LE
5918,32.0,14.6,1.0,RE
5919,31.7,5.8,1.0,RB
5922,23.9,3.6,1.0,P
5923,28.7,4.4,0.0,P
5924,27.1,1.2,1.0,P
5925,10.1,12.3,0.0,LB
5926,25.0,6.9,1.0,P
5928,32.2,19.4,0.0,RE
5929,15.8,8.9,1.0,LB
5930,11.2,12.3,0.0,LB
5931,19.4,3.0,1.0,P
5932,21.0,9.6,0.0,P
5933,12.5,12.7,0.0,LB
5935,18.6,19.0,1.0,LE
5937,14.4,0.1,0.0,LB
5938,33.1,23.6,0.0,RE
5939,15.8,9.1,1.0,LB
5940,10.4,11.6,0.0,LB
5941,26.8,3.4,1.0,P
5944,35.6,18.4,1.0,RE
5945,26.5,16.8,0.0,P
5947,26.0,0.6,1.0,P
5948,23.1,2.3,0.0,P
5949,25.2,0.1,1.0,P
5950,30.8,10.8,0.0,P
5953,38.2,11.5,0.0,RB
5955,39.9,21.6,0.0,RW
5956,26.5,2.6,0.0,P
5957,44.3,0.3,1.0,RB
5958,36.8,13.8,1.0,RB
5959,21.6,14.0,0.0,P
5960,26.7,0.3,1.0,P
5961,30.1,6.7,0.0,P
5962,42.7,1.4,0.0,RB
5964,21.8,25.0,1.0,TK
5966,40.4,14.0,0.0,RB
5967,10.8,11.2,1.0,LB
5968,11.7,13.5,0.0,LB
5969,40.9,20.5,1.0,RE
5970,9.7,19.8,0.0,LE
5971,25.2,9.9,0.0,P
5972,32.5,5.0,0.0,RB
5973,25.4,6.4,1.0,P
5975,29.7,20.0,0.0,TK
5976,18.2,27.7,1.0,T
5977,33.6,14.2,0.0,RE
5978,14.9,2.5,0.0,LB
5980,18.8,6.9,0.0,LB
5981,36.3,9.6,0.0,RB
5982,40.2,10.8,0.0,RB
5983,13.1,22.0,0.0,LE
5984,37.9,15.6,0.0,RE
5985,37.7,13.8,0.0,RB
5987,27.1,1.1,1.0,P
5988,35.2,13.5,0.0,RB
5989,34.4,11.6,1.0,RB
5990,34.9,14.2,1.0,RE
5992,38.3,4.7,1.0,RB
5993,19.1,18.3,0.0,P
5996,4.100000000000001,13.5,0.0,LB
5997,28.4,2.3,0.0,P
5998,24.2,9.7,0.0,P
5999,25.0,14.9,0.0,P
6000,29.3,1.9,1.0,P
6001,25.2,7.2,1.0,P
6004,4.899999999999999,15.1,0.0,LE
6005,13.6,26.6,0.0,LW
6006,25.2,10.1,1.0,P
6007,29.0,20.9,0.0,TK
6008,27.4,9.9,1.0,P
6009,25.2,2.2,1.0,P
6010,23.9,1.2,1.0,P
6012,8.100000000000001,17.5,0.0,LE
6013,25.6,17.6,1.0,P
6014,27.0,0.9,1.0,P
6016,26.5,2.3,0.0,P
6017,34.9,17.3,0.0,RE
6019,18.5,2.3,1.0,LB
6021,26.5,4.5,1.0,P
6022,25.2,3.0,1.0,P
6023,17.2,20.5,1.0,LE
6024,33.4,13.1,0.0,RB
6025,36.9,3.9,1.0,RB
6026,34.2,16.5,0.0,RE
6027,25.9,1.2,1.0,P
6028,25.0,8.0,1.0,P
6030,16.3,1.5,1.0,LB
6031,29.3,3.1,1.0,P
6032,25.9,2.5,0.0,P
6033,49.5,0.1,1.0,RC
6034,34.4,12.9,0.0,RB
6037,10.1,21.1,0.0,LE
6038,14.1,10.8,1.0,LB
6039,29.8,13.4,0.0,P
6040,13.4,10.5,0.0,LB
6041,26.7,8.0,1.0,P
6042,9.5,20.8,0.0,LE
6043,24.2,3.7,1.0,P
6044,25.6,3.0,1.0,P
6045,35.5,15.4,0.0,RE
6046,30.8,6.3,0.0,P
6047,27.3,15.4,1.0,P
6048,34.7,18.7,0.0,RE
6049,24.0,12.3,1.0,P
6050,24.5,4.1,0.0,P
6051,39.4,14.8,1.0,RE
6052,22.3,1.7,0.0,P
6053,1.8000000000000007,3.9,1.0,LC
6054,20.5,5.2,0.0,P
6055,35.5,9.4,1.0,RB
6056,23.8,3.3,1.0,P
6057,18.5,5.2,1.0,LB
6058,35.3,6.4,1.0,RB
6059,8.899999999999999,19.7,0.0,LE
6060,10.6,1.7,1.0,LB
6061,25.4,1.4,1.0,P
6062,44.0,17.8,0.0,RW
6063,14.1,9.7,1.0,LB
6065,17.4,3.1,0.0,LB
6067,26.3,19.8,0.0,TK
6068,31.9,6.1,0.0,RB
6069,15.7,4.1,0.0,LB
6071,26.7,1.4,1.0,P
6072,18.2,7.4,0.0,LB
6074,18.2,3.3,1.0,LB
6075,40.4,20.8,0.0,RE
6077,39.4,22.2,0.0,RW
6078,18.3,3.0,1.0,LB
6079,44.0,0.4,1.0,RB
6080,26.8,1.9,1.0,P
6081,8.399999999999999,4.7,0.0,LB
6082,10.8,1.5,1.0,LB
6083,20.1,27.6,0.0,T
6085,25.9,2.4,0.0,P
6086,32.0,3.6,1.0,RB
6087,42.3,21.7,0.0,RW
6088,14.9,7.7,1.0,LB
6090,16.6,2.0,0.0,LB
6091,18.5,4.7,1.0,LB
6092,23.7,0.1,1.0,P
6093,36.9,14.3,1.0,RE
6095,2.1999999999999993,3.4,0.0,LC
6096,13.8,3.3,1.0,LB
6097,36.4,0.7,1.0,RB
6099,23.1,24.9,0.0,TK
6100,10.0,9.4,1.0,LB
6104,26.5,3.4,0.0,P
6105,12.3,1.1,1.0,LB
6106,39.7,1.1,1.0,RB
6110,16.8,23.0,0.0,LE
6111,25.2,28.8,0.0,T
6112,25.6,1.7,1.0,P
6113,24.8,16.2,0.0,P
6114,28.2,13.1,0.0,P
6115,35.3,1.1,1.0,RB
6116,12.8,18.1,1.0,LE
6117,35.3,17.5,1.0,RE
6118,27.1,9.7,0.0,P
6119,23.2,22.7,0.0,TK
6120,14.2,5.8,1.0,LB
6121,32.2,2.8,1.0,RB
6123,23.5,20.6,1.0,TK
6124,24.8,8.2,0.0,P
6126,25.4,2.3,1.0,P
6128,28.9,26.1,1.0,TK
6129,19.8,3.4,0.0,P
6130,35.5,1.4,0.0,RB
6132,27.3,15.9,1.0,P
6133,28.6,21.1,0.0,TK
6134,26.8,18.6,1.0,P
6136,11.9,23.8,0.0,LW
6137,30.0,10.5,1.0,P
6140,30.6,11.3,1.0,P
6141,25.2,9.6,1.0,P
6144,11.7,22.8,0.0,LW
6145,11.6,11.3,1.0,LB
6146,8.399999999999999,17.6,0.0,LE
6147,22.0,7.8,0.0,P
6148,21.2,21.3,0.0,TK
6149,12.5,26.1,0.0,LW
6152,32.7,11.5,1.0,RB
6153,28.9,11.2,1.0,P
6154,35.8,22.2,0.0,RE
6156,26.3,0.3,1.0,P
6158,27.4,1.2,1.0,P
6159,26.0,2.3,0.0,P
6160,26.8,4.1,1.0,P
6162,23.2,1.1,0.0,P
6163,22.9,7.8,0.0,P
6164,41.0,6.6,1.0,RB
6165,30.4,2.2,1.0,P
6168,23.5,1.2,1.0,P
6169,27.4,9.9,0.0,P
6170,25.9,25.0,0.0,TK
6171,26.0,0.6,1.0,P
6172,36.0,13.1,1.0,RB
6173,24.6,3.1,0.0,P
6174,25.7,0.6,1.0,P
6175,24.5,4.7,1.0,P
6176,15.8,4.7,0.0,LB
6177,32.8,1.7,0.0,RB
6178,26.5,0.4,1.0,P
6179,16.0,13.2,1.0,LB
6180,23.1,5.3,1.0,P
6181,23.9,3.3,0.0,P
6182,24.0,13.2,1.0,P
6183,25.6,13.4,1.0,P
6184,7.100000000000001,18.4,0.0,LE
6185,11.9,22.0,0.0,LE
6186,48.7,0.1,1.0,RC
6187,24.8,2.8,1.0,P
6188,18.5,12.1,1.0,LB
6189,18.5,12.7,0.0,LB
6190,10.0,21.9,1.0,LW
6191,23.4,1.9,1.0,P
6193,27.4,2.2,0.0,P
6194,11.2,23.5,0.0,LW
6195,25.7,11.6,1.0,P
6196,13.9,8.8,1.0,LB
6197,14.7,9.6,0.0,LB
6198,2.1999999999999993,13.1,1.0,LC
6199,33.6,5.8,0.0,RB
6202,23.4,1.5,1.0,P
6203,37.9,12.7,0.0,RB
6204,23.7,4.5,0.0,P
6205,38.5,11.9,0.0,RB
6206,25.7,13.8,1.0,P
6209,20.1,8.8,1.0,P
6210,33.8,2.2,0.0,RB
6211,14.1,23.0,1.0,LE
6212,15.2,24.7,0.0,LE
6213,33.8,21.1,0.0,RE
6214,25.9,26.1,1.0,TK
6215,35.3,22.5,1.0,RE
6216,37.5,23.6,0.0,RW
6217,26.2,2.0,0.0,P
6218,30.8,7.1,0.0,P
6219,26.7,1.7,1.0,P
6222,9.7,16.5,0.0,LE
6223,21.2,2.0,1.0,P
6224,34.1,14.5,1.0,RE
6225,25.4,28.2,0.0,T
6226,27.1,5.3,0.0,P
6227,22.4,2.0,0.0,P
6228,27.9,8.5,1.0,P
6229,39.9,20.8,1.0,RE
6230,42.4,13.1,1.0,RB
6232,9.3,11.3,0.0,LB
6233,26.3,8.6,1.0,P
6234,4.899999999999999,17.6,0.0,LW
6236,34.2,21.4,0.0,RE
6237,27.3,2.6,0.0,P
6238,38.2,21.9,0.0,RE
6239,16.8,14.6,0.0,LE
6240,24.6,6.1,1.0,P
6241,23.2,5.5,1.0,P
6242,28.2,9.9,1.0,P
6244,6.0,10.5,0.0,LB
6246,20.4,4.5,1.0,P
6247,27.8,9.3,0.0,P
6250,42.0,18.9,1.0,RE
6251,5.100000000000001,14.2,0.0,LE
6252,13.3,5.5,0.0,LB
6253,45.6,15.7,0.0,RW
6255,42.9,17.8,1.0,RE
6256,28.9,2.2,1.0,P
6257,7.0,11.3,1.0,LB
6258,33.4,13.5,0.0,RB
6259,5.399999999999999,6.4,1.0,LB
6260,4.899999999999999,10.4,1.0,LB
6261,5.399999999999999,14.3,0.0,LE
6263,8.2,22.2,0.0,LW
6264,36.1,15.7,0.0,RE
6265,34.4,20.6,0.0,RE
6266,27.0,1.4,0.0,P
6268,25.9,12.4,0.0,P
6271,25.0,2.3,0.0,P
6272,27.4,5.6,0.0,P
6273,39.6,37.3,0.0,RW
6274,14.5,1.2,1.0,LB
6275,25.6,1.9,1.0,P
6276,16.6,8.5,0.0,LB
6277,27.3,2.2,1.0,P
6278,27.3,1.2,0.0,P
6279,24.5,1.1,1.0,P
6280,25.2,1.5,1.0,P
6281,22.9,1.7,1.0,P
6283,27.9,0.9,0.0,P
6285,25.2,16.5,0.0,P
6287,30.3,2.3,0.0,P
6288,41.5,20.0,0.0,RE
6289,25.7,26.3,0.0,TK
6290,27.0,1.2,1.0,P
6291,32.2,3.4,1.0,RB
6292,8.600000000000001,10.5,0.0,LB
6293,27.8,3.4,1.0,P
6294,29.5,9.3,1.0,P
6295,35.8,25.2,0.0,RW
6296,25.0,15.7,1.0,P
6297,7.100000000000001,7.8,0.0,LB
6299,7.5,9.4,0.0,LB
6300,43.5,18.9,0.0,RW
6301,10.6,24.2,0.0,LW
6302,29.0,6.4,1.0,P
6303,23.9,0.9,1.0,P
6305,26.7,0.9,1.0,P
6306,16.4,12.7,1.0,LB
6307,19.3,14.3,0.0,P
6308,26.0,19.4,0.0,TK
6309,25.0,1.5,1.0,P
6310,29.8,17.2,1.0,P
6311,34.7,3.0,0.0,RB
6312,22.6,3.6,1.0,P
6314,25.2,5.5,0.0,P
6315,25.6,2.3,1.0,P
6316,40.4,8.0,0.0,RB
6317,41.8,19.0,1.0,RE
6318,27.1,0.7,1.0,P
6319,8.399999999999999,18.6,0.0,LE
6320,25.7,13.4,1.0,P
6321,25.7,2.6,0.0,P
6323,17.9,16.2,1.0,LE
6325,23.2,15.6,1.0,P
6326,40.7,10.1,0.0,RB
6328,11.1,10.4,0.0,LB
6329,9.5,15.6,0.0,LE
6330,11.2,9.7,1.0,LB
6331,19.3,14.2,1.0,P
6332,38.2,10.2,1.0,RB
6334,36.3,4.8,0.0,RB
6335,41.2,3.1,1.0,RB
6336,42.7,29.6,0.0,RW
6337,26.7,0.6,1.0,P
6338,31.9,1.9,1.0,RB
6339,42.0,1.7,1.0,RB
6340,1.1000000000000014,1.1,0.0,LC
6341,1.3000000000000007,0.4,0.0,LC
6342,27.0,1.5,1.0,P
6343,11.7,6.9,1.0,LB
6344,27.4,20.0,1.0,TK
6345,8.399999999999999,4.7,0.0,LB
6346,25.2,6.9,1.0,P
6347,22.3,6.0,1.0,P
6348,9.7,18.6,0.0,LE
6349,22.0,10.1,0.0,P
6350,26.8,0.1,0.0,P
6351,15.0,1.1,0.0,LB
6352,11.2,5.6,0.0,LB
6354,44.5,16.2,0.0,RE
6356,13.4,11.3,0.0,LB
6357,37.9,18.4,0.0,RE
6359,13.0,2.8,0.0,LB
6360,42.1,13.7,0.0,RB
6361,14.4,23.1,1.0,LE
6363,24.3,25.5,1.0,TK
6365,40.9,12.9,0.0,RB
6366,7.800000000000001,16.7,0.0,LE
6367,1.8000000000000007,1.7,0.0,LC
6368,25.6,2.2,0.0,P
6370,12.2,3.6,0.0,LB
6371,25.9,2.8,0.0,P
6372,26.8,0.4,0.0,P
6373,24.8,1.7,0.0,P
6374,47.2,12.7,0.0,RC
6375,26.5,0.6,1.0,P
6376,23.5,0.9,1.0,P
6377,14.1,6.6,1.0,LB
6378,25.4,0.6,0.0,P
6379,24.8,1.4,0.0,P
6380,8.2,1.2,1.0,LB
6381,41.6,19.8,1.0,RE
6382,25.4,18.4,0.0,P
6383,28.1,19.2,0.0,TK
6384,1.0,8.3,0.0,LC
6385,24.3,0.6,1.0,P
6387,25.1,0.3,1.0,P
6388,36.6,14.6,1.0,RE
6389,39.1,11.9,0.0,RB
6390,29.0,8.2,0.0,P
6391,25.9,4.5,1.0,P
6392,33.8,40.5,0.0,T
6395,33.9,0.9,1.0,RB
6396,19.0,11.2,1.0,P
6399,35.5,7.8,1.0,RB
6400,22.6,1.1,0.0,P
6401,24.0,5.0,1.0,P
6402,26.8,1.1,0.0,P
6404,17.5,3.3,1.0,LB
6405,25.7,1.1,1.0,P
6406,10.4,6.9,0.0,LB
6407,23.9,0.7,1.0,P
6408,19.3,7.5,0.0,P
6409,35.5,1.1,1.0,RB
6410,21.6,1.5,1.0,P
6412,40.9,18.3,0.0,RE
6413,21.5,15.6,0.0,P
6414,25.1,26.3,0.0,TK
6415,9.8,18.9,0.0,LE
6416,26.3,3.1,0.0,P
6419,42.1,19.5,0.0,RW
6420,40.7,8.0,0.0,RB
6421,25.1,5.8,1.0,P
6423,23.7,0.3,0.0,P
6425,25.9,6.4,1.0,P
